a	a
bang4	*膀
bang4	傍
bang4	塝
bang4	嫎
bang4	棒
bang4	棓
bang4	甏
bang4	磅
bang4	稖
bang4	艕
bang4	蒡
bang4	蚄
bang4	蚌
bang4	蜯
bang4	謗
bang4	鎊
bang4	髈
bao1	*剝
bao1	*炮
bao1	*皰
bao1	*褎
bao1	*褻
bao1	*鞄
bao1	剥
bao1	包
bao1	孢
bao1	枹
bao1	礟
bao1	礮
bao1	笣
bao1	胞
bao1	苞
bao1	蕔
bao1	裦
bao1	褒
bao1	襃
bao1	闁
bao1	靤
bao1	齙
bao2	*瓟
bao2	*箔
bao2	瓝
bao2	窇
bao2	薄
bao2	雹
bao3	*煲
bao3	*褒
bao3	䴐
bao3	保
bao3	堡
bao3	堢
bao3	媬
bao3	宝
bao3	宲
bao3	寚
bao3	寳
bao3	寶
bao3	怉
bao3	珤
bao3	緥
bao3	葆
bao3	裦
bao3	褓
bao3	襃
bao3	賲
bao3	闁
bao3	飽
bao3	駂
bao3	鳵
bao3	鴇
bao4	*匏
bao4	*瀑
bao4	*謈
bao4	*雹
bao4	儤
bao4	刨
bao4	勽
bao4	嚗
bao4	報
bao4	忁
bao4	报
bao4	抱
bao4	暴
bao4	曓
bao4	煲
bao4	煿
bao4	爆
bao4	犦
bao4	菢
bao4	虣
bao4	袌
bao4	豹
bao4	趵
bao4	鉋
bao4	鑤
bao4	骲
bao4	鮑
bei1	*坏
bei1	*婢
bei1	*庳
bei1	*捭
bei1	*痺
bei1	*錍
bei1	䎱
bei1	伓
bei1	俾
bei1	偝
bei1	卑
bei1	埤
bei1	悲
bei1	揹
bei1	杯
bei1	桮
bei1	椑
bei1	盃
bei1	碑
bei1	綼
bei1	背
bei1	萆
bei1	藣
bei1	裨
bei1	錃
bei1	阫
bei1	鵯
bei3	北
bei3	邶
bei4	*北
bei4	*唄
bei4	*婢
bei4	*昢
bei4	*爸
bei4	*避
bei4	*鞁
bei4	㛝
bei4	㫲
bei4	㻗
bei4	俻
bei4	倍
bei4	偝
bei4	偹
bei4	備
bei4	僃
bei4	僻
bei4	哱
bei4	奰
bei4	孛
bei4	悖
bei4	愂
bei4	憊
bei4	旇
bei4	梖
bei4	焙
bei4	牬
bei4	犕
bei4	狽
bei4	珼
bei4	琲
bei4	碚
bei4	糒
bei4	背
bei4	臂
bei4	蓓
bei4	蛽
bei4	被
bei4	褙
bei4	誖
bei4	貝
bei4	軰
bei4	輩
bei4	邶
bei4	郥
bei4	鄁
bei4	鋇
bei4	鼰
bei5	唄
ben1	*卉
ben1	倴
ben1	奔
ben1	泍
ben1	渀
ben1	犇
ben1	賁
ben1	錛
ben1	𩣺
ben3	夲
ben3	奙
ben3	本
ben3	楍
ben3	泍
ben3	畚
ben3	苯
ben4	*体
ben4	*奔
ben4	坌
ben4	捹
ben4	撪
ben4	桳
ben4	泍
ben4	犇
ben4	獖
ben4	笨
ben4	逩
ben4	𦯀
beng1	*痭
beng1	伻
beng1	塴
beng1	奟
beng1	崩
beng1	嵭
beng1	弸
beng1	祊
beng1	絣
beng1	綳
beng1	繃
beng1	閍
beng2	甭
beng2	甮
beng3	*琣
beng3	*繃
beng3	䭰
beng3	埲
beng3	浲
beng3	漨
beng3	玤
beng3	琫
