a	a
han4	悍
han4	惒
han4	憾
han4	扞
han4	捍
han4	撼
han4	攌
han4	旱
han4	晘
han4	晥
han4	暵
han4	汗
han4	浛
han4	涆
han4	淊
han4	漢
han4	澏
han4	瀚
han4	焊
han4	熯
han4	犴
han4	猂
han4	皔
han4	睅
han4	睻
han4	筸
han4	翰
han4	莟
han4	菡
han4	蘫
han4	蛿
han4	蜭
han4	螒
han4	豻
han4	貋
han4	釬
han4	銲
han4	鋎
han4	閈
han4	雗
han4	頜
han4	頷
han4	顄
han4	馯
han4	駻
han4	𤳉
han4	𦜆
hang1	夯
hang2	*胻
hang2	䘕
hang2	吭
hang2	斻
hang2	杭
hang2	桁
hang2	沆
hang2	筕
hang2	絎
hang2	肮
hang2	航
hang2	苀
hang2	蚢
hang2	行
hang2	貥
hang2	迒
hang2	雽
hang2	頏
hang2	魧
hang2	𨁈
hang3	酐
hang4	*桁
hang4	*苀
hang4	*行
hang4	沆
hao1	嚆
hao1	蒿
hao1	薅
hao2	*呺
hao2	*檺
hao2	*號
hao2	*蚝
hao2	*蚵
hao2	*貉
hao2	*鶴
hao2	*麾
hao2	㩝
hao2	儫
hao2	勂
hao2	号
hao2	嗥
hao2	嘷
hao2	噑
hao2	嚎
hao2	壕
hao2	椃
hao2	毫
hao2	濠
hao2	狢
hao2	獆
hao2	獋
hao2	獔
hao2	籇
hao2	蠔
hao2	諕
hao2	譹
hao2	豪
hao2	貈
hao2	鸖
hao3	㚼
hao3	㝀
hao3	好
hao3	郝
hao4	*好
hao4	*涸
hao4	*狊
hao4	*藃
hao4	*鎬
hao4	*饕
hao4	*鰝
hao4	㚪
hao4	㝀
hao4	㵆
hao4	侴
hao4	傐
hao4	号
hao4	哠
hao4	峼
hao4	恏
hao4	悎
hao4	昊
hao4	昦
hao4	晧
hao4	暤
hao4	暭
hao4	曍
hao4	浩
hao4	淏
hao4	滈
hao4	澔
hao4	瀥
hao4	灝
hao4	皓
hao4	皜
hao4	皞
hao4	皡
hao4	皥
hao4	秏
hao4	耗
hao4	聕
hao4	薃
hao4	號
hao4	鄗
hao4	顥
hao4	飸
he1	*堨
he1	*鍻
he1	㰰
he1	呵
he1	喝
he1	嗬
he1	峆
he1	嵑
he1	抲
he1	毼
he1	訶
he1	騔
he2	*佮
he2	*匣
he2	*嗑
he2	*害
he2	*峆
he2	*峇
he2	*敆
he2	*渴
he2	*翕
he2	*苛
he2	*蓋
he2	*蚵
he2	*袷
he2	*赫
he2	*郃
he2	*閤
he2	*鞂
he2	*鞈
he2	*韐
he2	*鮯
he2	*鶷
he2	㭱
he2	䞦
he2	乢
he2	何
he2	劾
he2	合
he2	咊
he2	和
he2	哬
he2	啝
he2	圔
he2	姀
he2	廅
he2	惒
he2	曷
he2	柇
he2	核
he2	楁
he2	樖
he2	毼
he2	河
he2	涸
he2	渇
he2	渮
he2	滆
he2	滒
he2	澕
he2	熆
he2	爀
he2	狢
he2	盇
he2	盉
he2	盍
he2	盒
he2	盖
he2	礉
he2	禾
he2	篕
he2	紇
he2	翖
he2	翮
he2	耠
he2	荷
he2	菏
he2	萂
he2	葢
he2	蒚
he2	蝎
he2	螛
he2	褐
he2	覈
he2	訸
he2	詥
he2	貈
he2	貉
he2	趷
he2	酠
he2	釛
he2	鉌
he2	閡
he2	闔
he2	鞨
he2	餲
he2	魺
he2	鶡
he2	鶮
he2	齃
he2	齕
he2	龢
he4	*和
he4	*愒
he4	*豁
he4	*黑
he4	㵑
he4	佫
he4	吓
he4	咊
he4	喝
he4	嗃
he4	嚇
he4	垎
he4	惒
he4	暍
he4	焃
he4	煂
he4	熇
he4	燺
he4	爀
he4	猲
he4	癋
he4	碋
he4	翯
he4	荷
he4	蠚
he4	袔
he4	賀
he4	赫
he4	郝
he4	隺
he4	鶴
he4	鸖
he4	黒
hei1	㱄
hei1	嘿
hei1	潶
hei1	黑
hei1	黒
hei3	*黑
hei3	黒
hen2	*含
hen2	*噙
hen2	拫
hen2	痕
hen2	鞎
hen3	*佷
hen3	*拫
hen3	*硍
hen3	*蛝
hen3	*鞎
hen3	很
hen3	狠
hen3	詪
hen3	豤
hen4	*拫
hen4	恨
heng1	亨
heng1	哼
heng1	悙
heng1	脝
heng1	諻
heng2	*亨
heng2	*緪
heng2	佷
heng2	堩
heng2	姮
heng2	彉
heng2	彍
heng2	恆
heng2	恒
heng2	揘
heng2	揯
heng2	桁
heng2	楻
heng2	横
heng2	橫
heng2	珩
heng2	絚
heng2	蘅
heng2	衡
heng2	誙
heng2	諻
heng2	鑅
heng2	韹
heng2	鴴
heng4	*橫
heng4	啈
heng4	撔
heng4	横
heng4	澋
heng4	絎
heng5	*慌
hong1	*薧
hong1	叿
hong1	吽
hong1	哄
hong1	哅
hong1	揈
hong1	渹
hong1	烘
hong1	焢
hong1	薨
hong1	訇
hong1	谾
hong1	輷
hong1	轟
hong1	鍧
hong1	魟
hong1	𧥺
hong1	𩐠
hong2	*嶸
hong2	*肱
hong2	*鍙
hong2	*魟
hong2	㢬
hong2	䉺
hong2	仜
hong2	吰
hong2	垬
hong2	妅
hong2	娂
hong2	宏
hong2	宖
hong2	峵
hong2	嵤
hong2	弘
hong2	彋
hong2	汯
hong2	泓
hong2	洪
hong2	浤
hong2	渱
hong2	潂
hong2	灴
hong2	玒
hong2	瓨
hong2	硡
hong2	竑
hong2	竤
hong2	篊
hong2	粠
hong2	紅
hong2	紘
hong2	紭
hong2	綋
hong2	羾
hong2	翃
hong2	翝
hong2	耾
hong2	舼
hong2	苰
hong2	葒
hong2	葓
hong2	虹
hong2	触
hong2	訌
hong2	谹
hong2	谼
hong2	鈜
hong2	鋐
hong2	閎
hong2	霐
hong2	霟
hong2	鞃
hong2	鴻
hong2	黌
hong2	𨌆
hong3	哄
hong3	嗊
hong3	晎
hong4	*汞
hong4	*訌
hong4	澋
hong4	澒
hong4	蕻
hong4	鍙
hong4	閧
hong4	闂
hong4	鬨
hou1	*呴
hou1	齁
hou2	*堠
hou2	*緱
hou2	*翵
hou2	㤧
hou2	侯
hou2	喉
hou2	帿
hou2	猴
hou2	瘊
hou2	睺
hou2	矦
hou2	篌
hou2	糇
hou2	翭
hou2	葔
hou2	鄇
hou2	銗
hou2	鍭
hou2	餱
hou2	骺
hou2	鯸
hou3	吼
hou3	呍
hou3	犼
hou4	*姤
hou4	*緱
hou4	*葔
hou4	*逅
hou4	*銗
hou4	候
hou4	厚
hou4	后
hou4	垕
hou4	堠
hou4	後
hou4	洉
hou4	睺
hou4	缿
hou4	翭
hou4	豞
hou4	郈
hou4	鄇
hou4	鮜
hou4	鯸
hou4	鱟
hou4	𢔏
hou5	*候
hu1	*戲
hu1	*糊
hu1	*罅
hu1	*芴
hu1	*虎
hu1	*雽
hu1	䓤
hu1	乎
hu1	匢
hu1	匫
hu1	吰
hu1	呼
hu1	唿
hu1	啒
hu1	嘑
hu1	垀
hu1	寣
hu1	峘
hu1	幠
hu1	忽
hu1	恗
hu1	惚
hu1	戏
hu1	戯
hu1	戱
hu1	昒
hu1	曶
hu1	欻
hu1	歑
hu1	歘
hu1	泘
hu1	淲
hu1	淴
hu1	滹
hu1	烀
hu1	烼
hu1	猢
hu1	膴
hu1	苸
hu1	虍
hu1	虖
hu1	謼
hu1	軤
hu1	鍃
hu1	鏬
hu1	雐
hu2	*乎
hu2	*和
hu2	*壼
hu2	*核
hu2	*胍
hu2	*鈲
hu2	㗅
hu2	㿥
hu2	䁫
hu2	咊
hu2	喖
hu2	嘝
hu2	囫
hu2	壷
hu2	壺
hu2	媩
hu2	弧
hu2	惒
hu2	抇
hu2	搰
hu2	斛
hu2	楜
hu2	槲
hu2	泒
hu2	湖
hu2	瀫
hu2	焀
hu2	狐
hu2	猢
hu2	瑚
hu2	瓳
hu2	箶
hu2	糊
hu2	絗
hu2	縠
hu2	胡
hu2	葫
hu2	蔛
hu2	蝴
hu2	螜
hu2	衚
hu2	觳
hu2	醐
hu2	鍸
hu2	隺
hu2	頶
hu2	餬
hu2	鬍
hu2	魱
hu2	鰗
hu2	鱯
hu2	鵠
hu2	鶘
hu2	鶦
hu2	鶻
hu2	𠴱
hu2	𤌍
hu3	*箎
hu3	*篪
hu3	*虓
hu3	*覤
hu3	*許
hu3	唬
hu3	汻
hu3	滸
hu3	琥
hu3	竾
hu3	筂
hu3	萀
hu3	虍
hu3	虎
hu3	虝
hu3	諕
hu4	*亙
hu4	*寣
hu4	*摦
hu4	*斛
hu4	*楛
hu4	*槬
hu4	*槲
hu4	*熇
hu4	*穫
hu4	*糊
hu4	*麧
hu4	互
hu4	亘
hu4	冱
hu4	冴
hu4	嘝
hu4	嚛
hu4	婟
hu4	嫭
hu4	嫮
hu4	岵
hu4	帍
hu4	怙
hu4	戶
hu4	户
hu4	戸
hu4	戽
hu4	扈
hu4	摢
hu4	昈
hu4	枑
hu4	槴
hu4	沍
hu4	沪
hu4	滬
hu4	熩
hu4	燺
hu4	瓁
hu4	瓠
hu4	祜
hu4	笏
hu4	簄
hu4	綔
hu4	耯
hu4	臒
hu4	芐
hu4	蔰
hu4	謢
hu4	護
hu4	豰
hu4	鄠
hu4	韄
hu4	頀
hu4	魱
hu4	鱯
hua1	*化
hua1	*荂
hua1	*蘤
hua1	嘩
hua1	花
hua1	芲
hua1	華
hua1	蕐
hua1	錵
hua1	鷨
hua2	*劃
hua2	*嬅
hua2	*曄
hua2	*燁
hua2	*縎
hua2	*骹
hua2	*鷨
hua2	㒯
hua2	㕲
hua2	㠏
hua2	㦊
hua2	䅿
hua2	䱻
hua2	划
hua2	劐
hua2	嘩
hua2	姡
hua2	尳
hua2	崋
hua2	搳
hua2	敌
hua2	曅
hua2	曗
hua2	滑
hua2	澕
hua2	爗
hua2	猾
hua2	磆
hua2	秳
hua2	華
hua2	蕐
hua2	螖
hua2	譁
hua2	豁
hua2	釫
hua2	鏵
hua2	驊
hua4	*崋
hua4	*罫
hua4	*華
hua4	*蘳
hua4	*踝
hua4	*驊
hua4	劃
hua4	化
hua4	婳
hua4	嫿
hua4	嬅
hua4	摦
hua4	杹
hua4	槬
hua4	樺
hua4	沎
hua4	澅
hua4	画
hua4	畫
hua4	畵
hua4	繣
hua4	舙
hua4	蕐
hua4	觟
hua4	話
hua4	諣
hua4	譮
hua4	黊
huai2	*倠
huai2	*獲
huai2	㜳
huai2	佪
huai2	徊
huai2	怀
huai2	懐
huai2	懷
huai2	槐
huai2	櫰
huai2	淮
huai2	瀤
huai2	耲
huai2	获
huai2	蘹
huai2	褢
huai2	褱
huai2	踝
huai4	咶
huai4	坏
huai4	壊
huai4	壞
huai4	孬
huai4	瀤
huai4	蘾
huai4	褱
huai4	諙
huan1	*豲
huan1	*鱹
huan1	㹕
huan1	嚾
huan1	懽
huan1	欢
huan1	歓
huan1	歡
huan1	犿
huan1	獾
huan1	虇
huan1	覌
huan1	讙
huan1	貛
huan1	酄
huan1	驩
huan1	鴅
huan1	鵍
huan2	*儇
huan2	*垣
huan2	*垸
huan2	*彋
huan2	*擐
huan2	*烜
huan2	*獧
huan2	*翾
huan2	*蠉
huan2	*雚
huan2	䦡
huan2	噮
huan2	圜
huan2	嬛
huan2	寏
huan2	寰
huan2	峘
huan2	懁
huan2	捖
huan2	攌
huan2	桓
huan2	梡
huan2	楥
huan2	洹
huan2	澴
huan2	狟
huan2	环
huan2	環
huan2	瓛
huan2	糫
huan2	絙
huan2	繯
huan2	羦
huan2	肒
huan2	荁
huan2	萈
huan2	萑
huan2	豲
huan2	貆
huan2	还
huan2	還
huan2	鍰
huan2	鐶
huan2	闤
huan2	雈
huan2	鬟
huan2	鱞
huan2	𢕼
huan3	*諼
huan3	*鍰
huan3	愋
huan3	浣
huan3	澣
huan3	皖
huan3	睆
huan3	緩
huan3	輐
huan4	*繯
huan4	*肒
huan4	*鋎
huan4	喚
huan4	喛
huan4	圂
huan4	垸
huan4	奐
huan4	宦
huan4	幻
huan4	患
huan4	愌
huan4	換
huan4	擐
huan4	攌
huan4	梙
huan4	梡
huan4	槵
huan4	渙
huan4	漶
huan4	澣
huan4	烉
huan4	煥
huan4	瑍
huan4	瘓
huan4	瞣
huan4	藧
huan4	觨
huan4	豢
huan4	轘
huan4	逭
huan4	鯇
huan4	鯶
huan4	鰀
huan4	𠈄
huan4	𤃬
huang1	嚝
huang1	塃
huang1	巟
huang1	慌
huang1	肓
huang1	荒
huang1	衁
huang2	*諻
huang2	偟
huang2	凰
huang2	喤
huang2	堭
huang2	墴
huang2	媓
huang2	崲
huang2	彉
huang2	彍
huang2	徨
huang2	惶
huang2	揘
huang2	撗
huang2	楻
huang2	湟
huang2	潢
huang2	煌
huang2	熿
huang2	獚
huang2	瑝
huang2	璜
huang2	癀
huang2	皇
huang2	磺
huang2	穔
huang2	篁
huang2	簧
huang2	艎
huang2	葟
huang2	蝗
huang2	蟥
huang2	趪
huang2	遑
huang2	鍠
huang2	鐄
huang2	隍
huang2	韹
huang2	餭
huang2	騜
huang2	鰉
huang2	鱑
huang2	鷬
huang2	黃
huang2	黄
huang3	奛
huang3	宺
huang3	幌
huang3	怳
huang3	恍
huang3	晃
huang3	晄
huang3	榥
huang3	洸
huang3	滉
huang3	熀
huang3	皝
huang3	皩
huang3	詤
huang3	謊
huang3	鎤
huang4	*幌
huang4	*榥
huang4	*熀
huang4	㨪
huang4	岲
huang4	愰
huang4	晃
huang4	晄
huang4	曂
huang4	櫎
huang4	軦
huang4	鎤
huang5	*慌
hui1	*倠
hui1	*戲
hui1	*楎
hui1	*盔
hui1	*虺
hui1	*褌
hui1	*諢
hui1	*鍕
hui1	*黴
hui1	㡓
hui1	㷇
hui1	㿗
hui1	䘗
hui1	咴
hui1	噅
hui1	噕
hui1	墮
hui1	婎
hui1	媈
hui1	幑
hui1	徽
hui1	恢
hui1	戏
hui1	戯
hui1	戱
hui1	拻
hui1	挼
hui1	揮
hui1	撝
hui1	暉
hui1	洃
hui1	瀈
hui1	灰
hui1	灳
hui1	烣
hui1	煇
hui1	睳
hui1	禈
hui1	翬
hui1	裩
hui1	褘
hui1	詼
hui1	豗
hui1	輝
hui1	隓
hui1	隳
hui1	顪
hui1	鰴
hui1	麾
hui1	𦑩
hui2	*佪
hui2	*徊
hui2	*烠
hui2	*藱
hui2	㢠
hui2	冋
hui2	囘
hui2	回
hui2	囬
hui2	廻
hui2	廽
hui2	恛
hui2	洄
hui2	痐
hui2	茴
hui2	蚘
hui2	蛔
hui2	蛕
hui2	蜖
hui2	迴
hui2	逥
hui2	鮰
hui3	*會
hui3	*珛
hui3	会
hui3	悔
hui3	檓
hui3	毀
hui3	毁
hui3	毇
hui3	泋
hui3	烠
hui3	烸
hui3	燬
hui3	虫
hui3	虺
hui3	誨
hui3	譭
hui3	賄
hui4	*廥
hui4	*彖
hui4	*潰
hui4	*烠
hui4	*獪
hui4	*瘣
hui4	*膾
hui4	*誨
hui4	*鄶
hui4	*鏏
hui4	*鬠
hui4	*鱠
hui4	㥣
hui4	䎚
hui4	䙡
hui4	䧥
hui4	会
hui4	僡
hui4	儶
hui4	匯
hui4	卉
hui4	喙
hui4	嘒
hui4	噦
hui4	噲
hui4	嚖
hui4	圚
hui4	嬇
hui4	寭
hui4	廆
hui4	彗
hui4	彙
hui4	彚
hui4	恚
hui4	恵
hui4	惠
hui4	慧
hui4	憓
hui4	懳
hui4	晦
hui4	暳
hui4	會
hui4	槥
hui4	橞
hui4	櫘
hui4	殨
hui4	湏
hui4	滙
hui4	潓
hui4	澮
hui4	濊
hui4	燴
hui4	獩
hui4	璯
hui4	瞺
hui4	禬
hui4	穢
hui4	篲
hui4	絵
hui4	繐
hui4	繢
hui4	繣
hui4	繪
hui4	翽
hui4	膭
hui4	芔
hui4	蔧
hui4	蕙
hui4	薈
hui4	薉
hui4	螝
hui4	蟪
hui4	詯
hui4	詴
hui4	諱
hui4	譓
hui4	譮
hui4	譿
hui4	賄
hui4	鏸
hui4	鐬
hui4	闠
hui4	靧
hui4	鞼
hui4	顪
hui4	餯
hui4	饖
hui4	𠱥
hui4	𡜦
hui4	𢕺
hui4	𦒄
hun1	*諙
hun1	婚
hun1	惛
hun1	惽
hun1	敯
hun1	昏
hun1	昬
hun1	棔
hun1	殙
hun1	涽
hun1	睧
hun1	睯
hun1	葷
hun1	閽
hun2	*混
hun2	䮝
hun2	俒
hun2	堚
hun2	忶
hun2	棞
hun2	楎
hun2	渾
hun2	琿
hun2	繉
hun2	轋
hun2	顐
hun2	餛
hun2	餫
hun2	魂
hun2	鼲
hun3	*掍
hun3	混
hun3	睔
hun4	*渾
hun4	*緷
hun4	俒
hun4	倱
hun4	圂
hun4	慁
hun4	梡
hun4	混
hun4	溷
hun4	焝
hun4	觨
hun4	諢
huo1	伙
huo1	豁
huo2	佸
huo2	活
huo2	秮
huo2	萿
huo2	鈥
huo3	伙
huo3	吙
huo3	夥
huo3	火
huo3	灬
huo3	炚
huo3	炛
huo3	邩
huo3	鈥
huo4	*和
huo4	*笏
huo4	*聝
huo4	*霩
huo4	㕡
huo4	㕷
huo4	㗲
huo4	俰
huo4	剨
huo4	劐
huo4	咊
huo4	咟
huo4	嗀
huo4	嚄
huo4	嚿
huo4	壑
huo4	奯
huo4	彉
huo4	彍
huo4	彠
huo4	惑
huo4	惒
huo4	或
huo4	捇
huo4	掝
huo4	擭
huo4	攉
huo4	旤
huo4	曤
huo4	檴
huo4	沎
huo4	湱
huo4	濊
huo4	濩
huo4	瀖
huo4	獲
huo4	瓁
huo4	癨
huo4	眓
huo4	矆
huo4	矐
huo4	矱
huo4	砉
huo4	礊
huo4	礭
huo4	禍
huo4	穫
huo4	窢
huo4	耯
huo4	臒
huo4	臛
huo4	艧
huo4	获
huo4	蒦
huo4	藿
huo4	蠖
huo4	謋
huo4	豁
huo4	貨
huo4	鑊
huo4	閄
huo4	雘
huo4	霍
huo4	靃
huo4	馘
huo4	騞
huo4	鸌
huo4	嗀
huo4	𦑌
huo5	*午
huo5	*和
huo5	咊
huo5	惒
ji1	*其
ji1	*刉
ji1	*圾
ji1	*奇
ji1	*居
ji1	*憿
ji1	*敧
ji1	*期
ji1	*棋
ji1	*穖
ji1	*錤
ji1	*齌
ji1	㚻
ji1	㞓
ji1	㥍
ji1	㼄
ji1	丌
ji1	乩
ji1	僟
ji1	几
ji1	凥
ji1	剞
ji1	勣
ji1	卟
ji1	咭
ji1	唧
ji1	喞
ji1	嗘
ji1	嘰
ji1	基
ji1	姬
ji1	尐
ji1	屐
ji1	嵆
ji1	嵇
ji1	幾
ji1	惎
ji1	朞
ji1	机
ji1	枅
ji1	棊
ji1	槣
ji1	樍
ji1	機
ji1	檱
ji1	櫀
ji1	櫅
ji1	欚
ji1	毄
ji1	激
ji1	濝
ji1	犄
ji1	獥
ji1	璣
ji1	畸
ji1	畿
ji1	癘
ji1	癪
ji1	碁
ji1	磯
ji1	禨
ji1	稘
ji1	稽
ji1	積
ji1	竒
ji1	笄
ji1	筓
ji1	箕
ji1	簊
ji1	績
ji1	羇
ji1	羈
ji1	耭
ji1	肌
ji1	虀
ji1	虮
ji1	蛣
ji1	覉
ji1	覊
ji1	觭
ji1	諅
ji1	譏
ji1	賫
ji1	賷
ji1	跡
ji1	蹟
ji1	躋
ji1	躸
ji1	迹
ji1	銈
ji1	鐖
ji1	鑇
ji1	鑙
ji1	隮
ji1	雞
ji1	霙
ji1	鞿
ji1	韲
ji1	飢
ji1	饑
ji1	魕
ji1	鳮
ji1	鷄
ji1	鸄
ji1	齎
ji1	齏
ji2	*劇
ji2	*勣
ji2	*吃
ji2	*咭
ji2	*圾
ji2	*岋
ji2	*恄
ji2	*戕
ji2	*戟
ji2	*扱
ji2	*撠
ji2	*擷
ji2	*昅
ji2	*期
ji2	*毄
ji2	*砐
ji2	*硈
ji2	*積
ji2	*緝
ji2	*脊
ji2	*茍
ji2	*蛣
ji2	*蟿
ji2	*詰
ji2	*諿
ji2	*蹟
ji2	*迼
ji2	*革
ji2	*髻
ji2	*鮚
ji2	*鯽
ji2	*鷑
ji2	㗊
ji2	㗱
ji2	㘍
ji2	㘹
ji2	㦸
ji2	㭲
ji2	䔛
ji2	䳭
ji2	丮
ji2	亟
ji2	亼
ji2	伋
ji2	佶
ji2	偮
ji2	剧
ji2	卙
ji2	即
ji2	卽
ji2	及
ji2	吉
ji2	咠
ji2	唧
ji2	唶
ji2	喞
ji2	垐
ji2	堲
ji2	塉
ji2	墼
ji2	墽
ji2	姞
ji2	嫉
ji2	寂
ji2	岌
ji2	嶯
ji2	庴
ji2	彶
ji2	忣
ji2	急
ji2	愱
ji2	憰
ji2	戢
ji2	揤
ji2	撃
ji2	擊
ji2	极
ji2	棘
ji2	楖
ji2	楫
ji2	極
ji2	槉
ji2	橶
ji2	檝
ji2	殛
ji2	汲
ji2	洁
ji2	淁
ji2	湒
ji2	漃
ji2	潗
ji2	濈
ji2	焏
ji2	狤
ji2	疾
ji2	瘠
ji2	瘷
ji2	皀
ji2	皍
ji2	秸
ji2	稭
ji2	笈
ji2	箿
ji2	籍
ji2	級
ji2	耤
ji2	聐
ji2	脨
ji2	膌
ji2	艥
ji2	芨
ji2	莋
ji2	蒺
ji2	蓻
ji2	蕀
ji2	蕺
ji2	藉
ji2	蝍
ji2	螏
ji2	衱
ji2	襋
ji2	觙
ji2	趌
ji2	趞
ji2	踖
ji2	蹐
ji2	躤
ji2	輯
ji2	轚
ji2	郆
ji2	鈒
ji2	銡
ji2	鍓
ji2	鏶
ji2	集
ji2	雦
ji2	雧
ji2	霵
ji2	鞊
ji2	鰿
ji2	鴶
ji2	鶺
ji3	*机
ji3	*枳
ji3	*橶
ji3	*濟
ji3	*紀
ji3	*芑
ji3	*鞿
ji3	*鳧
ji3	㦸
ji3	丮
ji3	几
ji3	剞
ji3	妀
ji3	嵴
ji3	己
ji3	幾
ji3	庋
ji3	戟
ji3	掎
ji3	撠
ji3	擠
ji3	泲
ji3	済
ji3	犱
ji3	穖
ji3	給
ji3	脊
ji3	蟣
ji3	踦
ji3	邔
ji3	魕
ji3	魢
ji3	鳬
ji3	麂
ji4	*儕
ji4	*其
ji4	*即
ji4	*寂
ji4	*庪
ji4	*廄
ji4	*揖
ji4	*暩
ji4	*漃
ji4	*瘵
ji4	*茤
ji4	*謖
ji4	*騎
ji4	*麡
ji4	*黖
ji4	*齊
ji4	*齍
ji4	㥍
ji4	㻑
ji4	亝
ji4	伎
ji4	偈
ji4	兾
ji4	冀
ji4	刉
ji4	剤
ji4	劑
ji4	卽
ji4	厩
ji4	嚌
ji4	坖
ji4	垍
ji4	塈
ji4	墍
ji4	妓
ji4	季
ji4	寄
ji4	峑
ji4	帺
ji4	廏
ji4	廐
ji4	彐
ji4	彑
ji4	徛
ji4	忌
ji4	悸
ji4	惎
ji4	懻
ji4	技
ji4	斉
ji4	斊
ji4	旡
ji4	既
ji4	旣
ji4	暨
ji4	曁
ji4	梞
ji4	檕
ji4	檵
ji4	櫭
ji4	洎
ji4	済
ji4	漈
ji4	濟
ji4	瀱
ji4	璾
ji4	痵
ji4	瘈
ji4	癠
ji4	皍
ji4	瞡
ji4	祭
ji4	禝
ji4	稩
ji4	稷
ji4	穄
ji4	穊
ji4	穧
ji4	紀
ji4	紒
ji4	継
ji4	縘
ji4	繫
ji4	繼
ji4	罽
ji4	羇
ji4	聻
ji4	臮
ji4	艩
ji4	芰
ji4	萕
ji4	葪
ji4	蔇
ji4	薊
ji4	薺
ji4	蘎
ji4	蘮
ji4	蘻
ji4	裚
ji4	褀
ji4	襀
ji4	覬
ji4	計
ji4	記
ji4	誋
ji4	跽
ji4	躋
ji4	邔
ji4	際
ji4	霽
ji4	驥
ji4	髻
ji4	鬾
ji4	魝
ji4	鮆
ji4	鯚
ji4	鯯
ji4	鯽
ji4	鰶
ji4	鱀
ji4	鱭
ji4	鵋
ji4	齌
ji4	齐
jia1	*咖
jia1	*夾
jia1	䕒
jia1	伽
jia1	佳
jia1	傢
jia1	加
jia1	嘉
jia1	宊
jia1	家
jia1	幏
jia1	拁
jia1	擮
jia1	枷
jia1	毠
jia1	泇
jia1	犌
jia1	猳
jia1	珈
jia1	痂
jia1	笳
jia1	耞
jia1	腵
jia1	茄
jia1	葭
jia1	袈
jia1	豭
jia1	貑
jia1	跏
jia1	迦
jia1	鉫
jia1	鎵
jia1	鴐
jia1	麚
jia2	*俠
jia2	*狎
jia2	*硤
jia2	*祫
jia2	*秸
jia2	*翜
jia2	*舺
jia2	*頡
jia2	㮖
jia2	䛟
jia2	侠
jia2	唊
jia2	圿
jia2	埉
jia2	夾
jia2	忦
jia2	恝
jia2	戛
jia2	戞
jia2	扴
jia2	挟
jia2	挾
jia2	梜
jia2	浃
jia2	浹
jia2	猰
jia2	硈
jia2	稭
jia2	筴
jia2	脥
jia2	莢
jia2	蛺
jia2	袷
jia2	裌
jia2	讘
jia2	跲
jia2	郟
jia2	鋏
jia2	鞂
jia2	鞈
jia2	頰
jia2	餄
jia2	鴶
jia2	鵊
jia3	*夏
jia3	*柙
jia3	*犌
jia3	*瑕
jia3	*笚
jia3	*貑
jia3	*鍜
jia3	䘥
jia3	假
jia3	叚
jia3	嘏
jia3	夓
jia3	婽
jia3	岬
jia3	徦
jia3	斚
jia3	斝
jia3	椵
jia3	榎
jia3	檟
jia3	猳
jia3	玾
jia3	甲
jia3	疨
jia3	瘕
jia3	碬
jia3	胛
jia3	舺
jia3	賈
jia3	赮
jia3	鉀
jia3	騢
jia3	魻
jia3	麚
jia4	*夾
jia4	*甲
jia4	*賈
jia4	*鴐
jia4	价
jia4	価
jia4	假
jia4	價
jia4	嫁
jia4	幏
jia4	架
jia4	榢
jia4	稼
jia4	駕
jia5	*家
jian1	*堿
jian1	*媊
jian1	*尷
jian1	*慊
jian1	*慳
jian1	*掮
jian1	*淺
jian1	*漸
jian1	*犴
jian1	*葴
jian1	*蒧
jian1	*蜸
jian1	*訐
jian1	*豏
jian1	*鏗
jian1	*閒
jian1	䊕
jian1	傔
jian1	兼
jian1	冿
jian1	凲
jian1	囏
jian1	堅
jian1	奸
jian1	姦
jian1	姧
jian1	尖
jian1	尶
jian1	幵
jian1	廌
jian1	开
jian1	惤
jian1	戔
jian1	揃
jian1	搛
jian1	椷
jian1	槏
jian1	櫼
jian1	殲
jian1	浅
jian1	湔
jian1	濺
jian1	瀐
jian1	瀸
jian1	煎
jian1	熞
jian1	熸
jian1	牋
jian1	犍
jian1	猏
jian1	監
jian1	睷
jian1	硻
jian1	碊
jian1	礛
jian1	礷
jian1	箋
jian1	籛
jian1	緘
jian1	縑
jian1	肩
jian1	艱
jian1	菅
jian1	菺
jian1	葌
jian1	蒹
jian1	蕑
jian1	虃
jian1	襉
jian1	譼
jian1	豜
jian1	豣
jian1	鈃
jian1	銒
jian1	鋻
jian1	鍳
jian1	鑯
jian1	間
jian1	靬
jian1	鞬
jian1	韀
jian1	韉
jian1	飦
jian1	餰
jian1	馢
jian1	馦
jian1	騝
jian1	鬋
jian1	魐
jian1	鰔
jian1	鰜
jian1	鰹
jian1	鳽
jian1	鵳
jian1	鶼
jian1	麉
jian1	黬
jian1	鼸
jian3	*件
jian3	*媊
jian3	*憸
jian3	*錢
jian3	*騫
jian3	倹
jian3	僉
jian3	儉
jian3	减
jian3	剪
jian3	噞
jian3	囝
jian3	堿
jian3	嬐
jian3	寋
jian3	帴
jian3	弿
jian3	戩
jian3	戬
jian3	挸
jian3	揀
jian3	揃
jian3	撿
jian3	攓
jian3	暕
jian3	柬
jian3	梘
jian3	検
jian3	檢
jian3	減
jian3	湕
jian3	瀽
jian3	瑐
jian3	瞼
jian3	碱
jian3	筧
jian3	簡
jian3	絸
jian3	繭
jian3	翦
jian3	藆
jian3	蠒
jian3	襉
jian3	襺
jian3	詃
jian3	謇
jian3	謭
jian3	譾
