ㄅㄞˇ	栢
ㄅㄞˇ	百
ㄅㄞˇ	粨
ㄅㄞˇ	絔
ㄅㄞˇ	襬
ㄅㄞˊ	白
ㄅㄞˋ	*湃
ㄅㄞˋ	唄
ㄅㄞˋ	庍
ㄅㄞˋ	拜
ㄅㄞˋ	拝
ㄅㄞˋ	捭
ㄅㄞˋ	敗
ㄅㄞˋ	稗
ㄅㄞˋ	粺
ㄅㄞˋ	贁
ㄅㄟ	*坏
ㄅㄟ	*婢
ㄅㄟ	䎱
ㄅㄟ	伓
ㄅㄟ	俾
ㄅㄟ	偝
ㄅㄟ	卑
ㄅㄟ	埤
ㄅㄟ	庳
ㄅㄟ	悲
ㄅㄟ	捭
ㄅㄟ	揹
ㄅㄟ	杯
ㄅㄟ	桮
ㄅㄟ	椑
ㄅㄟ	痺
ㄅㄟ	盃
ㄅㄟ	碑
ㄅㄟ	綼
ㄅㄟ	背
ㄅㄟ	萆
ㄅㄟ	藣
ㄅㄟ	裨
ㄅㄟ	錃
ㄅㄟ	錍
ㄅㄟ	阫
ㄅㄟ	鵯
ㄅㄟˇ	北
ㄅㄟˇ	邶
ㄅㄟˋ	*北
ㄅㄟˋ	*唄
ㄅㄟˋ	*婢
ㄅㄟˋ	*昢
ㄅㄟˋ	*爸
ㄅㄟˋ	*避
ㄅㄟˋ	*鞁
ㄅㄟˋ	㛝
ㄅㄟˋ	㫲
ㄅㄟˋ	㻗
ㄅㄟˋ	俻
ㄅㄟˋ	倍
ㄅㄟˋ	偝
ㄅㄟˋ	偹
ㄅㄟˋ	備
ㄅㄟˋ	僃
ㄅㄟˋ	僻
ㄅㄟˋ	哱
ㄅㄟˋ	奰
ㄅㄟˋ	孛
ㄅㄟˋ	悖
ㄅㄟˋ	愂
ㄅㄟˋ	憊
ㄅㄟˋ	旇
ㄅㄟˋ	梖
ㄅㄟˋ	焙
ㄅㄟˋ	牬
ㄅㄟˋ	犕
ㄅㄟˋ	狽
ㄅㄟˋ	珼
ㄅㄟˋ	琲
ㄅㄟˋ	碚
ㄅㄟˋ	糒
ㄅㄟˋ	背
ㄅㄟˋ	臂
ㄅㄟˋ	蓓
ㄅㄟˋ	蛽
ㄅㄟˋ	被
ㄅㄟˋ	褙
ㄅㄟˋ	誖
ㄅㄟˋ	貝
ㄅㄟˋ	軰
ㄅㄟˋ	輩
ㄅㄟˋ	邶
ㄅㄟˋ	郥
ㄅㄟˋ	鄁
ㄅㄟˋ	鋇
ㄅㄟˋ	鼰
ㄅㄟ˙	唄
ㄅㄠ	*剝
ㄅㄠ	*皰
ㄅㄠ	*褎
ㄅㄠ	*褻
ㄅㄠ	*鞄
ㄅㄠ	剥
ㄅㄠ	包
ㄅㄠ	孢
ㄅㄠ	枹
ㄅㄠ	炮
ㄅㄠ	礟
ㄅㄠ	礮
ㄅㄠ	笣
ㄅㄠ	胞
ㄅㄠ	苞
ㄅㄠ	蕔
ㄅㄠ	裦
ㄅㄠ	褒
ㄅㄠ	襃
ㄅㄠ	闁
ㄅㄠ	靤
ㄅㄠ	齙
ㄅㄠˇ	*煲
ㄅㄠˇ	*褒
ㄅㄠˇ	䴐
ㄅㄠˇ	保
ㄅㄠˇ	堡
ㄅㄠˇ	堢
ㄅㄠˇ	媬
ㄅㄠˇ	宝
ㄅㄠˇ	宲
ㄅㄠˇ	寚
ㄅㄠˇ	寳
ㄅㄠˇ	寶
ㄅㄠˇ	怉
ㄅㄠˇ	珤
ㄅㄠˇ	緥
ㄅㄠˇ	葆
ㄅㄠˇ	裦
ㄅㄠˇ	褓
ㄅㄠˇ	襃
ㄅㄠˇ	賲
ㄅㄠˇ	闁
ㄅㄠˇ	飽
ㄅㄠˇ	駂
ㄅㄠˇ	鳵
ㄅㄠˇ	鴇
ㄅㄠˊ	*瓟
ㄅㄠˊ	*箔
ㄅㄠˊ	瓝
ㄅㄠˊ	窇
ㄅㄠˊ	薄
ㄅㄠˊ	雹
ㄅㄠˋ	*匏
ㄅㄠˋ	*瀑
ㄅㄠˋ	*謈
ㄅㄠˋ	*雹
ㄅㄠˋ	儤
ㄅㄠˋ	刨
ㄅㄠˋ	勽
ㄅㄠˋ	嚗
ㄅㄠˋ	報
ㄅㄠˋ	忁
ㄅㄠˋ	报
ㄅㄠˋ	抱
ㄅㄠˋ	暴
ㄅㄠˋ	曓
ㄅㄠˋ	煲
ㄅㄠˋ	煿
ㄅㄠˋ	爆
ㄅㄠˋ	犦
ㄅㄠˋ	菢
ㄅㄠˋ	虣
ㄅㄠˋ	袌
ㄅㄠˋ	豹
ㄅㄠˋ	趵
ㄅㄠˋ	鉋
ㄅㄠˋ	鑤
ㄅㄠˋ	骲
ㄅㄠˋ	鮑
ㄅㄢ	㻞
ㄅㄢ	扳
ㄅㄢ	搬
ㄅㄢ	攽
ㄅㄢ	斑
ㄅㄢ	斒
ㄅㄢ	朌
ㄅㄢ	班
ㄅㄢ	瘢
ㄅㄢ	肦
ㄅㄢ	般
ㄅㄢ	虨
